iteration,cumulative_edges_covered,new_edges,total_possible_edges,cumulative_coverage_percentage,new_coverage_percentage,execution_time,bug_type,average_execution_time,total_crashes,total_timeouts,unique_bugs,pass_rate
0,20146,20146,762867,2.640827,2.640827,0.036323,,0.036323,0,0,0,100.000000
1,22376,2230,762867,2.933146,0.292318,0.535315,,0.285819,0,0,0,100.000000
2,23745,1369,762867,3.112600,0.179455,0.024202,,0.198613,0,0,0,100.000000
3,24200,455,762867,3.172244,0.059643,0.032482,,0.157081,0,0,0,100.000000
4,24416,216,762867,3.200558,0.028314,0.024169,non_zero_exit,0.130498,0,0,0,80.000000
5,28340,3924,762867,3.714933,0.514375,3.170781,,0.637212,0,0,0,83.333333
6,29190,850,762867,3.826355,0.111422,0.029658,,0.550419,0,0,0,85.714286
7,29438,248,762867,3.858864,0.032509,1.037526,,0.611307,0,0,0,87.500000
8,29567,129,762867,3.875774,0.016910,5.004182,timeout,1.099404,0,1,0,77.777778
9,30166,599,762867,3.954293,0.078520,0.029614,,0.992425,0,1,0,80.000000
10,30233,67,762867,3.963076,0.008783,0.033608,,0.905260,0,1,0,81.818182
11,30615,382,762867,4.013150,0.050074,3.035969,non_zero_exit,1.082819,0,1,0,75.000000
12,30752,137,762867,4.031109,0.017959,0.038711,,1.002503,0,1,0,76.923077
13,30825,73,762867,4.040678,0.009569,0.022327,non_zero_exit,0.932491,0,1,0,71.428571
14,31697,872,762867,4.154984,0.114306,1.744339,,0.986614,0,1,0,73.333333
15,31734,37,762867,4.159834,0.004850,0.026326,,0.926596,0,1,0,75.000000
16,32005,271,762867,4.195358,0.035524,1.530799,,0.962137,0,1,0,76.470588
17,32055,50,762867,4.201912,0.006554,1.027663,,0.965778,0,1,0,77.777778
18,32055,0,762867,4.201912,0.000000,0.022649,non_zero_exit,0.916139,0,1,0,73.684211
19,32077,22,762867,4.204796,0.002884,2.031439,,0.971904,0,1,0,75.000000
20,32143,66,762867,4.213447,0.008652,1.028412,,0.974595,0,1,0,76.190476
21,32281,138,762867,4.231537,0.018090,3.034302,,1.068218,0,1,0,77.272727
22,32307,26,762867,4.234945,0.003408,0.022395,non_zero_exit,1.022747,0,1,0,73.913043
23,32356,49,762867,4.241368,0.006423,0.036241,,0.981643,0,1,0,75.000000
24,32493,137,762867,4.259327,0.017959,0.031714,,0.943646,0,1,0,76.000000
25,32545,52,762867,4.266143,0.006816,0.026337,,0.908365,0,1,0,76.923077
26,32546,1,762867,4.266274,0.000131,0.031707,,0.875896,0,1,0,77.777778
27,32548,2,762867,4.266537,0.000262,0.031121,,0.845725,0,1,0,78.571429
28,32592,44,762867,4.272304,0.005768,1.029778,,0.852072,0,1,0,79.310345
29,32600,8,762867,4.273353,0.001049,0.026518,non_zero_exit,0.824554,0,1,0,76.666667
30,32603,3,762867,4.273746,0.000393,0.031569,,0.798973,0,1,0,77.419355
31,32651,48,762867,4.280038,0.006292,2.028432,,0.837394,0,1,0,78.125000
32,32798,147,762867,4.299308,0.019269,0.029833,,0.812922,0,1,0,78.787879
33,32821,23,762867,4.302323,0.003015,1.028464,,0.819262,0,1,0,79.411765
34,32848,27,762867,4.305862,0.003539,0.033063,,0.796799,0,1,0,80.000000
35,32848,0,762867,4.305862,0.000000,0.027891,,0.775441,0,1,0,80.555556
36,32887,39,762867,4.310974,0.005112,0.024635,non_zero_exit,0.755149,0,1,0,78.378378
37,32892,5,762867,4.311630,0.000655,0.021985,non_zero_exit,0.735855,0,1,0,76.315789
