iteration,cumulative_edges_covered,new_edges,total_possible_edges,cumulative_coverage_percentage,new_coverage_percentage,execution_time,bug_type,average_execution_time,total_crashes,total_timeouts,unique_bugs,pass_rate
0,20139,20139,762867,2.639910,2.639910,0.031368,,0.031368,0,0,0,100.000000
1,22372,2233,762867,2.932621,0.292712,0.533081,,0.282224,0,0,0,100.000000
2,23738,1366,762867,3.111683,0.179061,0.026662,,0.197037,0,0,0,100.000000
3,24186,448,762867,3.170408,0.058726,0.031378,,0.155622,0,0,0,100.000000
4,24404,218,762867,3.198985,0.028576,0.022794,non_zero_exit,0.129056,0,0,0,80.000000
5,28332,3928,762867,3.713885,0.514900,3.288003,,0.655547,0,0,0,83.333333
6,29185,853,762867,3.825700,0.111815,0.029219,,0.566072,0,0,0,85.714286
7,29417,232,762867,3.856111,0.030412,1.035092,,0.624699,0,0,0,87.500000
8,29548,131,762867,3.873283,0.017172,5.004564,timeout,1.111351,0,1,0,77.777778
9,30146,598,762867,3.951672,0.078389,0.031858,,1.003402,0,1,0,80.000000
10,30213,67,762867,3.960454,0.008783,0.029524,,0.914867,0,1,0,81.818182
11,30609,396,762867,4.012364,0.051909,3.034805,non_zero_exit,1.091529,0,1,0,75.000000
12,30746,137,762867,4.030322,0.017959,0.038473,,1.010525,0,1,0,76.923077
13,30819,73,762867,4.039892,0.009569,0.022398,non_zero_exit,0.939944,0,1,0,71.428571
14,31687,868,762867,4.153673,0.113781,1.739446,,0.993244,0,1,0,73.333333
15,31724,37,762867,4.158523,0.004850,0.025563,,0.932764,0,1,0,75.000000
16,31996,272,762867,4.194178,0.035655,1.533241,,0.968086,0,1,0,76.470588
17,32053,57,762867,4.201650,0.007472,1.028293,,0.971431,0,1,0,77.777778
18,32053,0,762867,4.201650,0.000000,0.024860,non_zero_exit,0.921612,0,1,0,73.684211
19,32071,18,762867,4.204009,0.002360,2.033642,,0.977213,0,1,0,75.000000
20,32138,67,762867,4.212792,0.008783,1.035985,,0.980012,0,1,0,76.190476
21,32277,139,762867,4.231013,0.018221,3.036319,,1.073480,0,1,0,77.272727
22,32303,26,762867,4.234421,0.003408,0.021596,non_zero_exit,1.027746,0,1,0,73.913043
23,32352,49,762867,4.240844,0.006423,0.032892,,0.986294,0,1,0,75.000000
24,32489,137,762867,4.258803,0.017959,0.029631,,0.948027,0,1,0,76.000000
25,32541,52,762867,4.265619,0.006816,0.027616,,0.912627,0,1,0,76.923077
26,32542,1,762867,4.265750,0.000131,0.031207,,0.879982,0,1,0,77.777778
27,32547,5,762867,4.266406,0.000655,0.029407,,0.849604,0,1,0,78.571429
28,32594,47,762867,4.272567,0.006161,1.026849,,0.855716,0,1,0,79.310345
29,32602,8,762867,4.273615,0.001049,0.025589,non_zero_exit,0.828045,0,1,0,76.666667
30,32605,3,762867,4.274008,0.000393,0.030157,,0.802307,0,1,0,77.419355
31,32653,48,762867,4.280300,0.006292,2.027330,,0.840589,0,1,0,78.125000
32,32800,147,762867,4.299570,0.019269,0.031992,,0.816086,0,1,0,78.787879
33,32823,23,762867,4.302585,0.003015,1.029740,,0.822370,0,1,0,79.411765
34,32849,26,762867,4.305993,0.003408,0.027540,,0.799660,0,1,0,80.000000
35,32849,0,762867,4.305993,0.000000,0.029530,,0.778268,0,1,0,80.555556
36,32888,39,762867,4.311105,0.005112,0.026857,non_zero_exit,0.757959,0,1,0,78.378378
37,32893,5,762867,4.311761,0.000655,0.020171,non_zero_exit,0.738544,0,1,0,76.315789
38,32893,0,762867,4.311761,0.000000,0.029597,,0.720366,0,1,0,76.923077
39,32893,0,762867,4.311761,0.000000,0.021796,non_zero_exit,0.702902,0,1,0,75.000000
40,32953,60,762867,4.319626,0.007865,0.037416,,0.686670,0,1,0,75.609756
41,32960,7,762867,4.320543,0.000918,4.535189,,0.778302,0,1,0,76.190476
42,33975,1015,762867,4.453594,0.133051,0.050670,,0.761380,0,1,0,76.744186
