[Execution #44578] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44579] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44580] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44581] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44582] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44583] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44584] ProxyObject.cpp::performProxyGet (start line: 127, end line: 179)
[Execution #44585] ProxyObject.cpp::ProxyObject::performGet (start line: 206, end line: 217)
[Execution #44586] LLIntSlowPaths.cpp::performLLIntGetByID (start line: 787, end line: 857)
[Execution #44587] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44588] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44589] CodeBlock.cpp::CodeBlock::identifier (start line: 2753, end line: 2761)
[Execution #44590] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44591] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44592] ProxyObject.cpp::ProxyObject::getOwnPropertySlot (start line: 451, end line: 455)
[Execution #44593] ProxyObject.cpp::asObject (start line: 84, end line: 91)
[Execution #44594] JSFunction.cpp::JSFunction::getCallData (start line: 282, end line: 299)
[Execution #44595] ProxyObject.cpp::DECLARE_THROW_SCOPE (start line: 71, end line: 83)
[Execution #44596] CallData.cpp::call (start line: 31, end line: 36)
[Execution #44597] Interpreter.cpp::Interpreter::executeCall (start line: 1098, end line: 1114)
[Execution #44598] Interpreter.cpp::release (start line: 1090, end line: 1094)
[Execution #44599] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44600] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44601] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44602] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44603] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44604] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44605] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44606] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44607] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44608] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
[Execution #44609] UnlinkedCodeBlock.cpp::UnlinkedCodeBlock::instructions (start line: 276, end line: 280)
